,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
3160,F,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6
2000,I,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,6
3528,I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
811,I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,6
827,I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
1826,I,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6
915,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
2247,M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6
3114,I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6
2167,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6
896,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6
905,I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
2551,I,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,6
3748,I,0.43,0.33,0.095,0.32,0.118,0.065,0.123,7
818,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
913,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7
932,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
1078,I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7
832,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
990,F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
1845,I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
3482,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
1825,I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7
2516,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
2489,M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
3545,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
2215,I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7
2116,F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7
2052,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
2094,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
1258,I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7
3723,F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
1251,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
2735,I,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,7
1229,I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7
1555,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7
1593,I,0.525,0.4,0.14,0.654,0.305,0.16,0.169,7
1551,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
1433,I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,7
3440,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
635,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
62,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
46,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
208,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7
3976,I,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
3196,I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7
3113,I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
3953,M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,7
4065,I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
3085,I,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7
4028,I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
4106,I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
2727,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
1438,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8
4011,F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
3973,I,0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8
3016,I,0.435,0.325,0.105,0.335,0.136,0.065,0.115,8
1182,M,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8
347,I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8
1130,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8
1116,I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
1549,I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
1166,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
2745,I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8
3026,I,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8
1876,I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
1478,M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
2659,I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8
1851,I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
1846,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
1842,I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8
3405,I,0.35,0.28,0.075,0.196,0.082,0.04,0.064,8
3457,F,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
1261,I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8
1256,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8
3479,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
1767,I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8
2642,I,0.485,0.375,0.13,0.5535,0.266,0.112,0.157,8
408,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
2897,I,0.55,0.435,0.165,0.804,0.34,0.194,0.244,8
2582,F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
837,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
4167,F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
3544,I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8
2147,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8
36,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
4070,I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8
770,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
2280,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
3561,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8
2889,M,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8
2884,I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8
3806,F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8
3754,I,0.51,0.395,0.105,0.5525,0.234,0.127,0.165,8
2587,F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8
2765,F,0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,8
2977,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
2080,M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
1580,I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,8
542,M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8
2060,F,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
2058,I,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8
4157,I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
1606,I,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
950,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
1103,I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8
3539,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
976,F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
1689,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
3397,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
3443,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
1791,M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
1776,I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
3143,F,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9
2110,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
2135,F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9
2026,M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9
2047,I,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9
87,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
2291,F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9
3582,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
3570,F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9
3623,F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
2301,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
1798,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
1875,I,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
1891,M,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
3464,F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
4099,F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9
4111,F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9
3654,M,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
1999,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
2021,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
1912,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9
1936,M,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9
3126,F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9
855,M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
844,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
3569,M,0.58,0.47,0.165,1.041,0.54,0.166,0.279,9
1145,M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9
1162,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
1285,I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9
2920,F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9
701,F,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9
456,I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9
3990,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
868,M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
1001,F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
646,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
2923,M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9
2933,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,9
2913,I,0.59,0.46,0.125,0.755,0.334,0.15,0.238,9
528,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9
1113,I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9
875,M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
3737,F,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,9
2805,F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,9
801,M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
2609,F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9
3771,M,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9
1463,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
1483,F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9
4048,M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
746,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
2583,M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9
298,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
1581,I,0.5,0.375,0.14,0.559,0.2375,0.135,0.169,9
1451,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
1360,F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,9
2669,M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
2706,M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
2695,F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9
1373,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9
4009,M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,9
1665,F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9
3721,I,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9
2656,F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
2918,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
2300,F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10
2290,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10
2798,M,0.64,0.495,0.17,1.139,0.5395,0.282,0.285,10
3508,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
2675,F,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
2440,M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10
3033,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
2542,F,0.7,0.525,0.19,1.6015,0.707,0.365,0.43,10
3103,M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10
2624,M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,10
2766,I,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10
2787,F,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,10
2939,M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
2757,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10
2387,I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,10
2746,I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,10
3354,I,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10
1368,F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
1388,M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
1406,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
3727,I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10
1327,I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
1342,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10
381,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
1648,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10
1675,M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10
3693,M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
1493,M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,10
1516,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
1585,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
1198,F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
3770,I,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10
789,F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10
849,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
600,F,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10
3820,M,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
707,M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
1037,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
1136,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10
1180,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
857,F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
511,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
498,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10
3956,F,0.555,0.44,0.155,1.016,0.4935,0.1855,0.263,10
1950,F,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10
3659,F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
4145,M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
1879,I,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238,10
1909,F,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10
1920,M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10
3622,M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10
2214,F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10
2245,F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
4165,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
2084,F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10
2104,M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10
1858,I,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10
1857,F,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10
1794,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
1713,F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
4077,M,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,10
3670,I,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
1803,M,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
2956,F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11
394,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11
3151,F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
3052,F,0.6,0.45,0.14,0.869,0.3425,0.195,0.291,11
297,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
2925,I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,11
4056,F,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
4045,M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
584,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
3074,F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11
3078,F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
458,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11
487,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
4137,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
72,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
4159,F,0.585,0.475,0.165,1.053,0.458,0.217,0.3,11
407,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
497,F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11
220,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
2469,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
1742,M,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11
3469,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
2429,I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
1695,M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11
3680,M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11
3692,M,0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,11
1521,M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
3613,M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,11
2353,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
2307,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
1915,M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
1960,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
2359,F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11
1964,M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
2608,F,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11
870,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
1517,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11
1005,M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
676,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11
647,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
3783,M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
3798,F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
1398,F,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,11
2682,M,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,11
1508,F,0.645,0.505,0.165,1.318,0.55,0.3015,0.335,11
3712,M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
1203,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
1267,I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11
3275,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
3593,F,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12
3587,M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
3740,F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12
3690,M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
3322,F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12
1725,F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12
1934,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
1363,M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
1522,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
2349,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
2400,F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12
2317,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
2305,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
2155,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12
351,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12
447,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12
80,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
185,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
786,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
885,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
505,M,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12
603,I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
4175,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
2973,M,0.745,0.575,0.2,1.884,0.954,0.336,0.495,12
3053,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
2953,M,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,12
2216,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
732,M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
202,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
355,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
2971,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
3212,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
3183,F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13
757,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
1896,M,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13
749,F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
1978,M,0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13
85,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
438,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13
33,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
2460,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13
484,F,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,13
2272,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13
3935,F,0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
2295,F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
3948,F,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
3942,M,0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14
3341,M,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14
669,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
413,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14
741,F,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
315,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14
2275,F,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14
3685,F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14
230,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
3294,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14
2263,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
1427,F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14
9,F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
