,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
871,M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
3892,I,0.435,0.355,0.125,0.4075,0.1535,0.074,0.165,9
1505,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9
1656,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
3095,F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9
1473,M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
1489,F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9
1602,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
1621,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,9
2593,F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
1565,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
2577,M,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,9
2683,F,0.625,0.49,0.155,1.115,0.484,0.277,0.3095,9
3724,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
3046,M,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,9
399,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
2692,M,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
3051,F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,9
3065,F,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,9
3063,M,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9
2661,F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
713,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9
2861,M,0.735,0.57,0.21,2.2355,1.1705,0.463,0.5315,10
3559,M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10
2809,M,0.72,0.55,0.205,2.165,1.1055,0.525,0.404,10
3324,M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
3071,F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,10
2681,M,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,10
2422,F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10
3463,M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
2526,M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
2603,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
3461,F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
2775,M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,10
2791,M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10
3225,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
3501,M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
3123,F,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10
2983,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
1635,M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
1374,F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
386,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
1411,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
1308,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10
4003,M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
1349,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
1633,F,0.575,0.47,0.155,1.116,0.509,0.238,0.34,10
1658,F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
1684,I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
1207,M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
1503,F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
3708,M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
1605,I,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10
564,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
773,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
799,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
3793,M,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10
3861,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
3880,F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10
734,M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
1045,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10
1158,M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
3732,M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10
864,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
509,I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10
1011,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
1703,M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
116,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
1972,M,0.68,0.54,0.155,1.534,0.671,0.379,0.384,10
139,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
4114,F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
1913,M,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10
1928,M,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10
3611,M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
13,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
3577,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
2032,M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10
2017,M,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,10
2139,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
4086,I,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,10
1781,M,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
4083,F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10
4060,M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10
1739,F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
1811,M,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,10
2966,M,0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,11
3420,M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
3182,M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
37,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
261,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
2929,F,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11
2921,M,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11
577,I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11
579,F,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,11
3064,F,0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015,11
4019,F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
3349,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
3061,F,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,11
3066,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11
491,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
375,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
434,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11
3941,F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11
3058,F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
1805,M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
3676,M,0.605,0.49,0.165,1.1245,0.492,0.222,0.3555,11
1905,I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11
1821,M,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11
1681,I,0.62,0.49,0.16,1.066,0.446,0.246,0.305,11
1529,M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11
1734,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
1718,M,0.65,0.525,0.185,1.488,0.665,0.337,0.378,11
3617,M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11
2086,M,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11
3576,M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11
3591,M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11
1953,F,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
2416,M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
3516,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
1970,F,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,11
2804,F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11
797,M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
1018,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
972,M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
3826,M,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,11
3840,M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
2856,M,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,11
691,F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
1384,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
1414,F,0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,11
2698,M,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,11
2701,M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
1181,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11
1047,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
3873,F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,12
3947,F,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12
3500,M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
3338,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
3794,M,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12
2087,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
1690,I,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12
1758,F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
1387,M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
1669,F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,12
2371,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
2444,M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
2016,M,0.505,0.395,0.135,0.5915,0.288,0.1315,0.185,12
2187,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
275,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
378,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12
251,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
233,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
104,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12
808,F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
1051,M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12
551,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
621,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
3255,F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
2708,F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12
2957,F,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12
2535,F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12
3244,F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
2193,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
373,M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13
184,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
1641,M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
3170,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13
3350,F,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,13
3056,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
1753,M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
3385,M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13
2700,F,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,13
2699,M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,13
3909,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
2424,I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13
2621,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
588,F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13
2267,F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13
3331,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
2476,M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13
594,I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13
3208,I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14
3792,F,0.665,0.525,0.18,1.5785,0.678,0.229,0.456,14
3831,F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
555,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
453,F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
2033,F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14
1755,F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
83,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
2157,M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
3169,F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
164,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
